,tweet_text,sentiment
0,  obrigar emocaopositiva,1
1,  pa puta parir emocaopositiva,1
2,querer desconto 14/08 ⭐ ⭐ ⭐ ⭐ ⭐ 🌐 conferir o link ➔ » compartilhar « encontrar o ofertar cupom procurar preocupar ;) criar umar paginar ofertar e cupons atualizada diariamente emocaopositiva,1
3,vcs ajudar galera pelar amor butera emocaopositiva mmvas iheartradiommvas ffsinglenotears,1
4,casar zé e o morrer sono chegar o casar e ficar sono emocaopositiva,1
5,preciso emocaopositiva,1
6,  acaso adorar beijo e abraço hahahahaha bue fofiii ahahaha haver umar altura q n gostar emocaopositiva,1
7,solteiro s emocaopositiva,1
8,lindeza cortador kit mário coleção bia cravol cadastrar o site esperar adquirir o e arrasar o encomendar afinal temer emocaopositiva ...,1
9,  claro emocaopositiva,1
10,  bora topar emocaopositiva,1
11,  miojo emocaopositiva,1
12,manir seriar o único pessoa q emoji o família medo parecer grosso mandar emocaopositiva,1
13,  verdade pensar emocaopositiva,1
14,  migar raid d missão umar semana inteiro fçaslkjdflksjd chato facim emocaopositiva,1
15,  conseguir resolver assunto emocaopositiva,1
16,  nado emocaopositiva,1
17,  o lixinho poupar click parir bloquear :p,1
18,  emocaopositiva,1
19,o videogame favorito 🕹 — playstation qto o o jogar futebol emocaopositiva,1
20,  vcs começar o assistir o competitivo r6 o dex voces lenir parir o invitational confiar vcs vcs irar trazer o caneco entao vir porraaaaaaaaaaaa trás pro brasil voces pro league rj emocaopositiva,1
21,  ficar feliz q recíproco emocaopositiva,1
22,  tb saudade emocaopositiva,1
23,  implorar ano tickets twites nado server br pôr esperar o ouvir emocaopositiva,1
24,falir galera to aceitar beleza presentar aniversário emocaopositiva,1
25,  parabém emocaopositiva,1
26,  zozo ficar feliz nado emocaopositiva,1
27,alguém querer adotar mochi fofar adorar caro e retribuir amar comido adorar dormir agarrado algum interessar ´,1
28,pensar apoiar o canal e cosplays tornar padrim emocaopositiva,1
