,tweet_text,sentiment
0,  o pessoa certo parir seriar o valer e azevedo emocaopositiva,1
1,  parir mim precisamente o contrário emocaopositiva vir o chuva e vir o disposição emocaopositiva,1
2,video hoje ... pensar falar sobrar o meter csgo e sobrar o paginar alguem umar sugestao querer falar sobrar cenario nacional emocaopositiva,1
3,aaaaaaaa amar polaroids expressar o quantum to apaixonar vdd ✨ 💖 🎈 🎉 🎊 esperar outro pessoa conseguir ganhar emocaopositiva,1
4,valorizar o coração menino vc diferente o sorrir e d ❤ ️ — valorizar mundo o vidar diferente emocaopositiva,1
5,  amigo to emocaopositiva,1
6,  bravo jairo emocaopositiva,1
7,  socorrer ksoaksosks achar to o caixa som :p,1
8,  gostar fazenda emocaopositiva morrer medo galinha kkkkkkk,1
9,amanhar venom emocaopositiva,1
10,simplesmente o deixar chatear querer muitooo e iludir emocaopositiva,1
11,o comedir umar rotina e perfeitamente parir consolidar o escola condução :p,1
12,amigar parecer apaixonar vc — recíproco emocaopositiva,1
13,  gajar bacano aleijar esperar e o silvar feliz emocaopositiva,1
14,tou o video cabra bebé emocaopositiva,1
15,  verificar o ocorrer dan vir conversar comigo o dm pra gente conversar melhor blz emocaopositiva,1
16,  chamar emocaopositiva,1
17,  nariz ... olhar ouvir ... precisar umar centopeia pra votar útil o pt :p,1
18,  o capítulo escrever gordo cabelar vermelhar feminista peludo político obeso e o revisor carril :-))),1
19,feliz dia :p,1
20,  feliz dia criança emocaopositiva,1
21,  tô calmo emocaopositiva,1
22,  problema comer vir pessoa o reclamar causar estrear temporada tardio o país presumir o gente conhecimento emocaopositiva,1
23,fotogênico emocaopositiva,1
24,  passar o concurso pra monlevade demorar o chamar e formar tambem antar parir o título aguardar ... hehehe o o valer o jornada emocaopositiva,1
25,lindo emocaopositiva,1
26,feliz dia criança emocaopositiva e lula amigo,1
27,  google it emocaopositiva sofrer recurso,1
28,querer agradecer o o seguidor graça o vcs emocaopositiva,1
29,o bgs2018 emocaopositiva,1
30,  olar tio emocaopositiva,1
31,  ah ... vc bahia ficar fácil vc responder emocaopositiva,1
32,orar haver autocarro parir sps parir viseu e preocupar arranjar bolear o ignorar o situação emocaopositiva,1
33,  e comprar pao queijar pra mim e rir tomar café açúcar sogro pm e sogro evangélico amar ♡ aceito emocaopositiva,1
34,estudar o o som chuva e o frente emocaopositiva,1
35,n contexto kids o leão israel trabalhar parecer parir o criança o álbum little lions algum ano descobrir haver emocaopositiva reggaebrasil diadascrianças,1
36,participar top comentarista blog opção livro incrível emocaopositiva,1
37,nct127_regular_kor regular emocaopositiva,1
38,  feliz dia criança pra nó brasileiro emocaopositiva,1
39,emocaopositiva promessa falso precipitar ... partiupalotinacurtirferiado ... \o,1
40,umar nadja p r o t o g o n s t o lt;3 eliminar lembrar e citar emocaopositiva ana paula protagonista,1
41,rt o cena o lixar emocaopositiva,1
42,feliz dia criança emocaopositiva ^^,1
43,  querer morrer emocaopositiva,1
44,nct127_regular_kor jungwoo cabelar azul e o atual emocaopositiva ja o cabelar azul igual o o d e o cabelar igual o o d emocaopositiva,1
45,esperar o ônibus 1h e errar emocaopositiva feriadou,1
46,feliz dia criança pra minar namorar emocaopositiva,1
47,  nado emocaopositiva,1
48,o taehyung londres è umar bonito vir cidade haver tá feliz emocaopositiva,1
49,smp melhor q drake emocaopositiva,1
50,  mandar dm emocaopositiva fons,1
51,kkkk rir emocaopositiva,1
52,feliz dia criança pra vc outro pessoa parir amigo achar legal emocaopositiva,1
53,alguém sossegar o restaurante-africano-que-tem-as-comidas-dos-livros-da-chimamanda :p nham tá pagar,1
54,hoje ta parecer sabado to perdido emocaopositiva,1
55,  e ensinar pra emocaopositiva,1
56,  feliz feliz feliz emocaopositiva,1
57,tio facista o suar o video importante d história assistir o ganhar brigadeiro emocaopositiva,1
58,  obrigar emocaopositiva,1
59,  oi ler parir umar criança ceder ajudar o desenvolvimento e o criatividade e imaginação costumar ler parir umar criança emocaopositiva,1
60,  vontade gostar emocaopositiva,1
61,  pelar ta cagar e vomitar emocaopositiva,1
62,emocaopositiva,1
63,  brigaduh lt;3 emocaopositiva,1
64,  beijar namorar perceber sonhar ’’,1
65,  hahaha olhar emocaopositiva,1
66,mt teta — emocaopositiva,1
67,  naisuuu vc preciso descansar molier emocaopositiva,1
68,fingir afeta emocaopositiva,1
69,  aceitar emocaopositiva,1
70,brasileiro merecer troféu ignorância emocaopositiva,1
71,indicar umar músico emocaopositiva,1
72,o unica radical q qnd mainha n ta casar eh beber suco refri o caneca pq odiar q :p,1
73,  oie ótimo gostar o gente acreditar n causar o hábito ler parir umar criança emocaopositiva,1
74,e sair casar parir assistir emocaopositiva,1
75,emocaopositiva,1
76,o o mandar o skin ganhar thumb :p,1
77,amar o twitter pq desabafar e flop e ninguém aguentar reclamar família ta pra o quão querer morrer e o plano pra matar emocaopositiva,1
78,médio chorar emocaopositiva,1
79,vidar emocaopositiva seguir s2,1
80,oi gente hoje aniversário emocaopositiva,1
81,  emocaopositiva,1
82,  o verdade o mundo o cabeça gente comer emocaopositiva,1
83,  melhor virtude bby emocaopositiva,1
84,  ... e con naturalmente emocaopositiva,1
85,hmm torrar o internet ouvir músico o spotify :p,1
86,  lacoste melhor 😂 😂 😂 😂 € pelar polo fred perry preço qualidade o mercar haver melhor emocaopositiva,1
87,  eheheheheheh senão esqueço-me o pensar n outro acabar o sair :-))),1
88,  emocaopositiva chance ae kkkk,1
89,  obrigar o emocaopositiva,1
90,roubar ninguém emocaopositiva,1
91,  vir pra casar emocaopositiva,1
92,umar cliente padrinho rabo redondo d gostar apalpar :-),1
93,pq babar o bozão hahahahah :p,1
94,ficar sentar o suar casa e encher o stories discursar ódio resolver nado morar emocaopositiva,1
95,  emocaopositiva paragraf,1
96,  n esquecer naum :p,1
97,  to criticar trazer informação útil o visão eua sobrar o comunismo continuar errar emocaopositiva,1
98,irritar pessoa andar devagar o frente imagem pessoa conduzir o zonar andar o emocaopositiva,1
99,  óculo puro estilar hahah emocaopositiva,1
100,oi lívia transmitir umar luzir acreditar o universo existir alguém parecer ... — aaaa emocaopositiva ficar feliz ler realmente esforçar pra emanar umar ener ...,1
101,hoje emocaopositiva,1
102,cuidar o falso irmão envolver o balir existir maldade silêncio emocaopositiva,1
103,umar d ignorar emocaopositiva,1
104,  vir companhia trabalhar :-),1
105,  sábado emocaopositiva,1
106,  logico o filho o pai tb ta apoiar :-),1
107,boo diia emocaopositiva,1
108,sorrir significar feliz emocaopositiva,1
109,independente gostar o fp produzir respeitar pessoa trabalhar o som viralizam o youtube o festa e o baile hipocrisia master escutar negro favelado e votar candidatar aversão o minoria social :-),1
110,what thing you take most pride in — chegar tô hoje emocaopositiva,1
111,  hoje haver taxímetro e poema o sítio escrito :-))),1
112,to feliz emocaopositiva q falir o show monsta,1
113,comer o namorar — melhor impossível emocaopositiva,1
114,  s causar primar emocaopositiva,1
115,  emocaopositiva malo ava birayê ezîz ezê silavên ler bikim,1
116,  obrigar sair emocaopositiva,1
117,12/10/2018 chegar o casar e emocaopositiva,1
118,gostar emocaopositiva,1
119,  querer emocaopositiva bitch,1
120,correr pra caralho cansar e bye bye adiantar emocaopositiva,1
121,comprar cd emocaopositiva,1
122,caraca feliz dia criança emocaopositiva,1
123,  o tardar noite ba emocaopositiva e vc,1
124,eunso!emocaopositiva,1
125,e o yasmyn nascer pra tomar o cu emocaopositiva,1
126,dia criança :p,1
127,gostar psdb doria lacrar d+ n horario eleitoral emocaopositiva,1
128,votar n emocaopositiva,1
129,cortar o cabeloooo e mds gostar mt emocaopositiva,1
130,tou bue feliz emocaopositiva,1
131,guardar receitar peitar peru assar parir almoçar família emocaopositiva,1
132,feliz dia criança parir incluir o criança eterno evolução corpo adulto emocaopositiva,1
133,seguir o gente o instagram emocaopositiva,1
134,  o achar engraçar n loucura hoje vir gente questionar o pq o bandeiro brasil o capar o twitter ... orar bolar ... eata o q criar o contar emocaopositiva,1
135,quadrar esquecer porra hextec emocaopositiva,1
136,  o provavelmente irar conseguir amanhã emocaopositiva,1
137,amizade começar n dia fernanda oliveira haver ano hoje monica morgante haver ano hoje simone flor haver ano hoje marcio rubens haver ano hoje flavia gontijo albernaz haver ano hoje emocaopositiva,1
138,barrir e n genteeeee podiaaa piorrr hahahahahah emocaopositiva,1
139,  ps o série umar deliciar adorar emocaopositiva,1
140,tá mundo tratar o certar almoçar e receber elogiar tô feliz emocaopositiva,1
141,  olhar ... calhar emocaopositiva,1
142,comer indeciso entrar outfits emocaopositiva,1
143,haver certo o mundo o morte o imposto o posts ngb sobrar passivo o o querer emocaopositiva,1
144,  perder nado emocaopositiva,1
145,espumar ódio emocaopositiva,1
146,graça deus casar emocaopositiva,1
147,noite emocaopositiva — tardar emocaopositiva,1
148,e emocaopositiva,1
149,  pedir desculpar pelar generalização amigo querer ressaltar o hipocrisia moço intencional emocaopositiva,1
150,  oh emocaopositiva,1
151,emocaopositiva oq q supor responder,1
152,  o pra ditar o acontecer o emocaopositiva,1
153,  ninguém ligar o adepto respeitar perceber comer ganhar o ano passar táctico funcionar ano campar emocaopositiva tic tac ...,1
154,vencer velhote 8-bits e chicote umar armadura geração adiantar suar aposto :p,1
155,  barcelona emocaopositiva,1
156,o buscar deus o buscar alegria o encontrar deus o alegria dia,1
157,  bgs beleza d reservar sala e acordar emocaopositiva,1
158,  o bolsonaro libertário o costume,1
159,  vir cmg o dia furar o orelhar emocaopositiva,1
160,colar sucesso emocaopositiva,1
161,  emocaopositiva seguir ae,1
162,fuzilar o cidadão falar sobrar o pessoal esquerdo emocaopositiva,1
163,acelerar o comprar o chopp e pagar outro emocaopositiva,1
164,internet so funcionar o whats e n falir ngm emocaopositiva show,1
165,lembrar quase bater o malucar pq chutar colar chopp emocaopositiva,1
166,ep temporada simpsons umar referência o o videoclip here it goes again ok go emocaopositiva,1
167,gente o esquecer ciro gomar ja ces ficar lamentar redar social e falar ciro correr riscar eleição focar o atual candidatar q votar o segundar turno haddad13 emocaopositiva,1
168,o contar irmão passar realmente nado falto o potinho vidrar tamanho perfazer pra beck dechavado ficar feliz recuperar emocaopositiva,1
169,  :-),1
170,αmigo to αqui prα ti pedir desculpαs ti dαr o pαrαbéns αtrαsαdo x ‘ αliαs comer o vαle α intenção ’ mαis tomαrα tenhα • muitα sαude ’ • dinheiro o bolsar ’ • muitαs nαmorαdαs ‘ hoho ’ • muitα sortir suα vidα emocaopositiva αmovocêcαrã ♥,1
171,devir casaco emocaopositiva,1
172,textinhos parabenizar neném feliz aniversário anjo merecer o mundo .. emocaopositiva ❤ happyjiminday,1
173,  casar precisar javardar ja o maltar majornartp pra ajudar emocaopositiva,1
174,  pq emocaopositiva,1
175,  o pessoa complicar :p,1
176,  tbm n emocaopositiva,1
177,  quantum :p,1
178,o oc e to achar desein iti malia deus du céu emocaopositiva,1
179,o infernar terminar relacionamento umar compartilhar querer e tá o ex emocaopositiva,1
180,  vantagem mulher husuhshusuh :p,1
181,feriar emocaopositiva,1
182,  pra aceitar qualidade acima emocaopositiva,1
183,acc avail dm agir biar fastresp emocaopositiva,1
184,e o ganhador desafiar twitter d o entrar contato conosco mp parir adicionar o prêmio parabém emocaopositiva,1
185,sair hoje e ficar casar emocaopositiva,1
